post_id,time_stamp,text,likes,comments,comments_full
10159584466232838,1634663125,"The wait is over: Pixel 6 and Pixel 6 Pro, the completely redesigned Google phones, are here. 🥳 Powered by Google Tensor, our first-ever processor, both phones are fast, smart, secure and designed to adapt to you. Learn more → goo.gle/3vr0FPi #Pixel6Launch

BLOG.GOOGLE
More personal, more powerful: Meet Pixel 6 and Pixel 6 Pro",4152,618,[]
10159620555352838,1636148633,"Climate TRACE is the world’s first independent, near-real time emissions monitoring platform, developed with support from Google.org. This platform will help us all take a step closer to living carbon-free. Learn how it was made → goo.gle/3o5M20w",387,41,[]
10159620166427838,1636135525,👋 Friendly reminder to make time for yourself today. Check out the Primer app for tips you can apply anywhere to improve your mindfulness and tackle the rest of your day → goo.gle/39Es5aB #GrowWithGoogle,237,30,[]
10159620077612838,1636131613,"Adjust to the seasonal time change and get a better night's sleep with these tips from our sleep scientist → goo.gle/2ZJWSRh
😌 Ease into it
🌡️ Find a room temperature that’s comfortable
🧊 Use the cold to wake up
💤 Don’t snooze (you’ll lose)
🌅 Imitate a sunrise with light",182,18,[]
10159618526407838,1636061138,"Now, Google Career Certificates are free for all community colleges to add to their curriculum. This program can help students prepare for in-demand jobs in data analytics, IT support, project management and user experience design. Learn more → goo.gle/3bBu3JC #GrowWithGoogle

CNBC.COM
Google is giving all U.S. community colleges free access to their 4 career certificates",691,34,[]
10159618183202838,1636048339,"Happy Diwali! Explore Diwali @ Home from Google Arts & Culture, a collection of fun and playful elements, cultural stories and dance performances to celebrate the festival of lights: https://blog.google/intl/en-in/company-news/outreach-initiatives/happy-diwali-google-arts-culture/

BLOG.GOOGLE
Happy Diwali from Google Arts & Culture!",289,12,[]
10159618110222838,1636045546,"People want to communicate with businesses to help them make more informed decisions. See how we’re using new features on Maps and Search to help business owners make the most of their interactions with customers → goo.gle/3bJmW1Y

BLOG.GOOGLE
Foster meaningful conversations with customers on Google",262,19,[]
10159616328292838,1635967991,"Whether you need gift ideas this holiday season or reminders to take a breather on the busiest days, Google Registry is sharing their favorite websites and apps to help you plan your travel, create DIY gifts, stay grounded and more → goo.gle/2ZR0lNX

BLOG.GOOGLE
10 sites and apps to help you get ready for the holidays",311,38,[]
10159616057427838,1635960916,"#COP26 is a global summit of world leaders and industry experts coming together to create the next steps toward a sustainable future. And now, you can have a seat at the table, too. Visit The Green Zone, a new online hub on Google Arts & Culture and YouTube to stream free and exclusive content from the summit → g.co/cop26greenzone #GoogleSustainability",431,29,[]
10159615866077838,1635954624,"Don't miss #DevFest North America on November 19-20. You'll be able to take part in keynotes, hands-on workshops, networking and more. Jason Titus, our VP of Engineering, will be the opening keynote speaker. Learn more and sign up today → goo.gle/na-devfest21",225,15,"[{'comment_id': '10159615895287838', 'comment_url': 'https://facebook.com/10159615895287838', 'commenter_id': '100040684420351', 'commenter_url': None, 'commenter_name': 'Leonard Lice', 'commenter_meta': None, 'comment_text': 'interested thanks for sharing', 'comment_time': datetime.datetime(2021, 11, 3, 0, 0), 'comment_image': None, 'comment_reactors': [], 'comment_reactions': None, 'comment_reaction_count': None, 'replies': []}, {'comment_id': '10159615938217838', 'comment_url': 'https://facebook.com/10159615938217838', 'commenter_id': '100061663440717', 'commenter_url': None, 'commenter_name': 'عبده لصدقي', 'commenter_meta': None, 'comment_text': 'Very Zach RECENTLY established a week PARTY MUCH better HAVE first', 'comment_time': datetime.datetime(2021, 11, 3, 0, 0), 'comment_image': None, 'comment_reactors': [], 'comment_reactions': None, 'comment_reaction_count': None, 'replies': []}, {'comment_id': '10159616000507838', 'comment_url': 'https://facebook.com/10159616000507838', 'commenter_id': '1045230057', 'commenter_url': None, 'commenter_name': 'Sajjad Hyder', 'commenter_meta': None, 'comment_text': 'I have noticed suspicious activity in my email, it seems google bot is mixing up email addresses, I have received a wrong email from you for a wrong email address. what info do you need to check this asap?', 'comment_time': datetime.datetime(2021, 11, 3, 0, 0), 'comment_image': None, 'comment_reactors': [], 'comment_reactions': None, 'comment_reaction_count': None, 'replies': []}, {'comment_id': '10159624458527838', 'comment_url': 'https://facebook.com/10159624458527838', 'commenter_id': '100000095282028', 'commenter_url': None, 'commenter_name': 'Ivàn David Marìn Mendoza', 'commenter_meta': None, 'comment_text': 'Google', 'comment_time': datetime.datetime(2021, 11, 7, 21, 55, 12), 'comment_image': None, 'comment_reactors': [], 'comment_reactions': None, 'comment_reaction_count': None, 'replies': []}, {'comment_id': '10159618089627838', 'comment_url': 'https://facebook.com/10159618089627838', 'commenter_id': '100074276895804', 'commenter_url': None, 'commenter_name': 'Марина Анисимова', 'commenter_meta': None, 'comment_text': 'Wow', 'comment_time': datetime.datetime(2021, 11, 4, 0, 0), 'comment_image': None, 'comment_reactors': [], 'comment_reactions': None, 'comment_reaction_count': None, 'replies': []}, {'comment_id': '10159615937847838', 'comment_url': 'https://facebook.com/10159615937847838', 'commenter_id': '100061663440717', 'commenter_url': None, 'commenter_name': 'عبده لصدقي', 'commenter_meta': None, 'comment_text': 'Googmailco just one was just thinking that SAD and the first 12th 5th the other person is', 'comment_time': datetime.datetime(2021, 11, 3, 0, 0), 'comment_image': None, 'comment_reactors': [], 'comment_reactions': None, 'comment_reaction_count': None, 'replies': []}, {'comment_id': '10159616021117838', 'comment_url': 'https://facebook.com/10159616021117838', 'commenter_id': '100074124010245', 'commenter_url': None, 'commenter_name': 'Раиса Гаврилова', 'commenter_meta': None, 'comment_text': 'Amazing', 'comment_time': datetime.datetime(2021, 11, 3, 0, 0), 'comment_image': None, 'comment_reactors': [], 'comment_reactions': None, 'comment_reaction_count': None, 'replies': []}, {'comment_id': '10159621140877838', 'comment_url': 'https://facebook.com/10159621140877838', 'commenter_id': '100041671216983', 'commenter_url': None, 'commenter_name': 'Ì.Ķ. Tãŕø', 'commenter_meta': None, 'comment_text': 'Gg', 'comment_time': datetime.datetime(2021, 11, 5, 0, 0), 'comment_image': None, 'comment_reactors': [], 'comment_reactions': None, 'comment_reaction_count': None, 'replies': []}, {'comment_id': '10159616053227838', 'comment_url': 'https://facebook.com/10159616053227838', 'commenter_id': '100061663440717', 'commenter_url': None, 'commenter_name': 'عبده لصدقي', 'commenter_meta': None, 'comment_text': 'Arrested US PARTY MUCH longer one night and come I know lol Zach Lloyd Wright PARTY very CAN OO just NEEDED CAN vCard CAN first Gogh bff PARTY MUCH jjj and not ghosts ghosts uhh OO can', 'comment_time': datetime.datetime(2021, 11, 3, 0, 0), 'comment_image': None, 'comment_reactors': [], 'comment_reactions': None, 'comment_reaction_count': None, 'replies': []}, {'comment_id': '10159617357392838', 'comment_url': 'https://facebook.com/10159617357392838', 'commenter_id': '100073047251181', 'commenter_url': None, 'commenter_name': 'Goomy', 'commenter_meta': None, 'comment_text': 'Wonderful, thanks for sharing', 'comment_time': datetime.datetime(2021, 11, 4, 0, 0), 'comment_image': None, 'comment_reactors': [], 'comment_reactions': None, 'comment_reaction_count': None, 'replies': []}, {'comment_id': '10159615868632838', 'comment_url': 'https://facebook.com/10159615868632838', 'commenter_id': '100002339162238', 'commenter_url': None, 'commenter_name': 'Antonio Albir Escobar', 'commenter_meta': None, 'comment_text': '13235579926 🤙', 'comment_time': datetime.datetime(2021, 11, 3, 0, 0), 'comment_image': None, 'comment_reactors': [], 'comment_reactions': None, 'comment_reaction_count': None, 'replies': []}, {'comment_id': '10159615868502838', 'comment_url': 'https://facebook.com/10159615868502838', 'commenter_id': '100002339162238', 'commenter_url': None, 'commenter_name': 'Antonio Albir Escobar', 'commenter_meta': None, 'comment_text': 'Impossible In This World And The Fame (For The People 👨\u200d👩\u200d👧\u200d👦)\n,\nEn Este Mundo Es Imposible Y La Fama (Para Las Personas 👨\u200d👩\u200d👧\u200d👦)\n\nQuetzeagle JST: MY 1,000 TRACKS (MIS 1,000 PISTAS)\n\nImpossible To Get Up To 10 Millons Views\n\nImposible Llegar Hasta 10 Millones De Vistas\n\nBlessing To All 🌎 (Bendiciones A Todos)\n\nChrist With Me (Cristo Conmigo 🕊)\n\nBRRRRRRRRRR', 'comment_time': datetime.datetime(2021, 11, 3, 0, 0), 'comment_image': None, 'comment_reactors': [], 'comment_reactions': None, 'comment_reaction_count': None, 'replies': []}, {'comment_id': '10159615869097838', 'comment_url': 'https://facebook.com/10159615869097838', 'commenter_id': '100002339162238', 'commenter_url': None, 'commenter_name': 'Antonio Albir Escobar', 'commenter_meta': None, 'comment_text': 'People Hate Quetzeagle JST: 👍🙏🔥', 'comment_time': datetime.datetime(2021, 11, 3, 0, 0), 'comment_image': None, 'comment_reactors': [], 'comment_reactions': None, 'comment_reaction_count': None, 'replies': []}, {'comment_id': '10159615868687838', 'comment_url': 'https://facebook.com/10159615868687838', 'commenter_id': '100002339162238', 'commenter_url': None, 'commenter_name': 'Antonio Albir Escobar', 'commenter_meta': None, 'comment_text': 'Help Me (Ayúdame ) ✌️.', 'comment_time': datetime.datetime(2021, 11, 3, 0, 0), 'comment_image': None, 'comment_reactors': [], 'comment_reactions': None, 'comment_reaction_count': None, 'replies': []}, {'comment_id': '10159615868612838', 'comment_url': 'https://facebook.com/10159615868612838', 'commenter_id': '100002339162238', 'commenter_url': None, 'commenter_name': 'Antonio Albir Escobar', 'commenter_meta': None, 'comment_text': 'I Need 100 Millions Dollars, Loans (Yo Necesito 100 Millones De Dólares, Préstamos)\n\nQuetzeagle JST: Help Me (Ayúdame ) ✌️.', 'comment_time': datetime.datetime(2021, 11, 3, 0, 0), 'comment_image': None, 'comment_reactors': [], 'comment_reactions': None, 'comment_reaction_count': None, 'replies': []}]"
10159613740997838,1635862862,"When we launched Gmail in 2004, it was initially thought to be an April Fool's Day prank. 17 years later, it's grown to become a central part of the work we do at Google. Celebrate #50yrsofemail by learning more about the history of Gmail: goo.gle/3CInPDF

BLOG.GOOGLE
Email is 50 years old, and still where it's @",7593,261,[]
10159612416347838,1635801436,"It’s Native American Heritage Month in the U.S.! Learn how we’re supporting Native-serving organizations, celebrating Indigenous artists, and amplifying the stories of people building Indigenous futures — including giving $1 million to Partnership With Native Americans to help train 10,000 students through the Grow with Google Indigenous Career Readiness Program ↓ goo.gle/3bxaC4M #GrowWithGoogle

BLOG.GOOGLE
Honoring Indigenous communities around the world",401,68,[]
10159612249237838,1635793878,"""In our language there's a third gender called Łamana... These individuals were highly regarded because of their dual role in society."" — Zuni artist Mallery Quetawki 🎨

Go behind the scenes of today's interactive #GoogleDoodle, which celebrates U.S. #NativeAmericanHeritageMonth by honoring Zuni Native American fiber artist and weaver We:wa, a Łamana and revered cultural leader in the tribe.",505,40,[]
10159611958182838,1635782360,,336,49,[]
10159611869842838,1635778373,"Today we’re entering the final phase of @Googleorg’s Impact Challenge Bay Area. From November 1-14, the public can vote for the nonprofit they believe should win the $1 million People’s Choice award. Meet the finalists and learn more here: https://goo.gle/3my35ZF

BLOG.GOOGLE
Vote for a Google.org Impact Challenge Bay Area winner",275,29,[]
10159605903652838,1635519835,"Current student? College grad? Started college but pushed ⏸️? No matter your level of experience or education, Google Career Certificates can help you level up your skills and open doors to new opportunities. goo.gle/38nWx7S #GrowWithGoogle

BLOG.GOOGLE
Expanding pathways into higher education and the workforce",390,74,[]
10159603765552838,1635447602,"Earlier this year, volunteers in New Jersey welcomed 9,000 Afghans who'd fled the Taliban takeover in Afghanistan. We talked with one of those volunteers – Googler Shahla Naimi – whose mother was a refugee from Afghanistan, 40 years prior: goo.gle/2Zx3z9b

BLOG.GOOGLE
A Googler tells us how the world can show up for Afghans",7549,258,[]
10159603701007838,1635445802,"We're rolling out a new tool that gives young people more control over images of them online. See how kids, teens and families can request the removal of images of people under the age of 18 from Google Search results → goo.gle/3Er3OSs

BLOG.GOOGLE
Giving kids and teens more control over their images in Search",301,34,[]
